module_id,cpus,overall_size,data_parts,avg_size,max_size,execution_time
2,1.0,1321974,6,220329,587494,13.600
2,1.0,3402711,20,170135,767095,54.298
2,1.0,2880611,14,205757,767095,52.302
2,1.0,1803667,12,150305,587494,28.698
2,1.0,1080277,8,135034,269712,20.681
2,1.0,1282273,10,128227,334670,24.801
2,1.0,2448375,16,153023,587494,31.694
2,1.0,3559261,22,161784,767095,48.390
2,1.0,3265805,18,181433,767095,37.308
2,0.5,3848868,24,160369,767095,96.906
2,0.5,1321974,6,220329,587494,20.305
2,0.5,3402711,20,170135,767095,79.203
2,0.5,2880611,14,205757,767095,58.202
2,0.5,1803667,12,150305,587494,41.300
2,0.5,1080277,8,135034,269712,20.097
2,0.5,1282273,10,128227,334670,31.404
2,0.5,2448375,16,153023,587494,56.589
2,0.5,3559261,22,161784,767095,51.999
2,0.5,3265805,18,181433,767095,64.795
3,4.0,3907,4,976,976,1.906
3,4.0,1866,4,466,466,0.648
3,3.5,3907,4,976,976,2.016
3,3.5,1866,4,466,466,0.624
3,3.0,3907,4,976,976,1.963
3,3.0,1866,4,466,466,0.671
3,2.5,3907,4,976,976,2.475
3,2.5,1866,4,466,466,0.897
3,2.0,3907,4,976,976,2.562
3,2.0,1866,4,466,466,0.992
3,1.5,3907,4,976,976,3.857
3,1.5,1866,4,466,466,1.193
3,1.0,3907,4,976,976,4.761
3,1.0,1866,4,466,466,1.514
3,0.5,3907,4,976,976,14.118
3,0.5,1866,4,466,466,3.667
3,4.0,240876,17,14169,14169,3.531
3,3.5,240876,17,14169,14169,4.365
3,3.0,240876,17,14169,14169,3.963
3,2.5,240876,17,14169,14169,5.295
3,2.0,240876,17,14169,14169,6.169
3,1.5,240876,17,14169,14169,9.927
3,1.0,240876,17,14169,14169,9.635
3,0.5,240876,17,14169,14169,28.090
3,4.0,2019354,1570,1286,1286,41.899
3,4.0,479518,17,28206,28206,6.540
3,4.0,4041207,1570,2574,2574,185.983
3,3.5,2019354,1570,1286,1286,45.526
3,3.5,479518,17,28206,28206,7.253
3,3.5,4041207,1570,2574,2574,203.592
3,3.0,2019354,1570,1286,1286,45.943
3,3.0,479518,17,28206,28206,7.359
3,3.0,4041207,1570,2574,2574,198.923
3,2.5,2019354,1570,1286,1286,51.877
3,2.5,479518,17,28206,28206,8.006
3,2.5,4041207,1570,2574,2574,235.050
3,2.0,2019354,1570,1286,1286,55.591
3,2.0,479518,17,28206,28206,9.182
3,2.0,4041207,1570,2574,2574,268.257
3,1.5,2019354,1570,1286,1286,77.143
3,1.5,479518,17,28206,28206,13.016
3,1.5,4041207,1570,2574,2574,353.991
3,1.0,2019354,1570,1286,1286,86.659
3,1.0,479518,17,28206,28206,13.991
3,1.0,4041207,1570,2574,2574,408.236
3,0.5,2019354,1570,1286,1286,243.139
3,0.5,479518,17,28206,28206,39.703
3,0.5,4041207,1570,2574,2574,1091.624
3,4.0,10230,8,1278,1278,3.026
3,4.0,5068,8,633,633,0.604
3,4.0,23775,8,2971,2971,1.884
3,4.0,11884,8,1485,1485,1.127
3,3.5,10230,8,1278,1278,3.074
3,3.5,5068,8,633,633,0.547
3,3.5,23775,8,2971,2971,1.914
3,3.5,11884,8,1485,1485,1.237
3,3.0,10230,8,1278,1278,2.876
3,3.0,5068,8,633,633,0.552
3,3.0,23775,8,2971,2971,2.033
3,3.0,11884,8,1485,1485,1.301
3,2.5,10230,8,1278,1278,3.692
3,2.5,5068,8,633,633,0.649
3,2.5,23775,8,2971,2971,2.631
3,2.5,11884,8,1485,1485,1.600
3,2.0,10230,8,1278,1278,3.833
3,2.0,5068,8,633,633,0.791
3,2.0,23775,8,2971,2971,2.876
3,2.0,11884,8,1485,1485,1.856
3,1.5,10230,8,1278,1278,5.191
3,1.5,5068,8,633,633,1.007
3,1.5,23775,8,2971,2971,3.813
3,1.5,11884,8,1485,1485,2.519
3,1.0,10230,8,1278,1278,4.300
3,1.0,5068,8,633,633,1.298
3,1.0,23775,8,2971,2971,4.939
3,1.0,11884,8,1485,1485,3.243
3,0.5,10230,8,1278,1278,15.276
3,0.5,5068,8,633,633,3.796
3,0.5,23775,8,2971,2971,17.228
3,0.5,11884,8,1485,1485,11.500
4,4.0,155722951,3948,39443,73336,42.789
4,4.0,30622827,1392,21999,42012,11.497
4,4.0,42433106,544,78002,133085,6.130
4,4.0,121433829,3303,36764,50716,34.462
4,4.0,13267852,249,53284,64886,7.444
4,4.0,16162650,324,49884,51988,4.292
4,4.0,10720307,548,19562,23809,2.289
4,4.0,22953357,685,33508,45755,4.709
4,4.0,15496975,274,56558,89862,3.190
4,4.0,302896266,601,503987,587278,93.644
4,3.5,155722951,3948,39443,73336,55.591
4,3.5,30622827,1392,21999,42012,10.444
4,3.5,42433106,544,78002,133085,6.292
4,3.5,121433829,3303,36764,50716,42.558
4,3.5,13267852,249,53284,64886,7.976
4,3.5,16162650,324,49884,51988,9.035
4,3.5,10720307,548,19562,23809,2.441
4,3.5,22953357,685,33508,45755,6.109
4,3.5,15496975,274,56558,89862,6.801
4,3.5,302896266,601,503987,587278,151.541
4,3.0,155722951,3948,39443,73336,85.962
4,3.0,30622827,1392,21999,42012,12.013
4,3.0,42433106,544,78002,133085,13.150
4,3.0,121433829,3303,36764,50716,96.746
4,3.0,13267852,249,53284,64886,9.563
4,3.0,16162650,324,49884,51988,11.888
4,3.0,10720307,548,19562,23809,6.484
4,3.0,22953357,685,33508,45755,9.979
4,3.0,15496975,274,56558,89862,10.135
4,3.0,302896266,601,503987,587278,217.607
4,2.5,155722951,3948,39443,73336,137.309
4,2.5,30622827,1392,21999,42012,16.426
4,2.5,42433106,544,78002,133085,20.542
4,2.5,121433829,3303,36764,50716,132.597
4,2.5,13267852,249,53284,64886,13.213
4,2.5,16162650,324,49884,51988,14.578
4,2.5,10720307,548,19562,23809,6.975
4,2.5,22953357,685,33508,45755,17.532
4,2.5,15496975,274,56558,89862,11.456
4,2.5,302896266,601,503987,587278,263.215
4,2.0,155722951,3948,39443,73336,185.985
4,2.0,30622827,1392,21999,42012,22.083
4,2.0,42433106,544,78002,133085,26.919
4,2.0,121433829,3303,36764,50716,169.429
4,2.0,13267852,249,53284,64886,16.260
4,2.0,16162650,324,49884,51988,18.171
4,2.0,10720307,548,19562,23809,10.621
4,2.0,22953357,685,33508,45755,23.753
4,2.0,15496975,274,56558,89862,14.310
4,2.0,302896266,601,503987,587278,325.962
4,1.5,155722951,3948,39443,73336,253.688
4,1.5,30622827,1392,21999,42012,31.135
4,1.5,42433106,544,78002,133085,35.244
4,1.5,121433829,3303,36764,50716,223.343
4,1.5,13267852,249,53284,64886,22.180
4,1.5,16162650,324,49884,51988,23.976
4,1.5,10720307,548,19562,23809,14.042
4,1.5,22953357,685,33508,45755,31.359
4,1.5,15496975,274,56558,89862,18.385
4,1.5,302896266,601,503987,587278,432.353
4,1.0,155722951,3948,39443,73336,374.699
4,1.0,30622827,1392,21999,42012,63.993
4,1.0,42433106,544,78002,133085,53.071
4,1.0,121433829,3303,36764,50716,333.315
4,1.0,13267852,249,53284,64886,32.859
4,1.0,16162650,324,49884,51988,34.771
4,1.0,10720307,548,19562,23809,21.381
4,1.0,22953357,685,33508,45755,46.988
4,1.0,15496975,274,56558,89862,30.838
4,1.0,302896266,601,503987,587278,656.661
